Ano,Disciplina,Componente-curricular,Nova Descricao Gerada
1°EM,Literatura,3. Intertextualidades,"Textos conversam entre si, e você aprende a decifrar ecos, alusões e diálogos entre grandes obras."
1°EM,Literatura,4. A Linguagem Literária,"Aprenda como metáforas, sentidos e estilo transformam o texto em arte e o leitor em intérprete."
1°EM,Literatura,5. Trovadorismo E Classicismo,Viaje da paixão cortês à harmonia clássica em versos que marcam o início da literatura portuguesa.
1°EM,Literatura,6. Quinhentismo,Descubra o encontro entre culturas na literatura dos primeiros contatos entre Europa e Brasil.
1°EM,Literatura,7. Barroco,"Um mergulho na arte do conflito entre razão e fé, luz e sombra, com palavras que provocam e encantam."
1°EM,Literatura,8. Arcadismo,"Fuja para o campo com poetas que buscavam simplicidade, razão e beleza no equilíbrio com a natureza."
1°EM,Matemática,1 - Noções De Conjuntos,"Entenda como agrupar, comparar e organizar elementos com a base lógica da matemática moderna."
1°EM,Matemática,10 - Função Logarítmica,Explore o crescimento e a escala dos fenômenos naturais com a função que mede o invisível.
1°EM,Matemática,11 - Triângulos,Conheça a figura mais estável da geometria e suas propriedades fundamentais para o mundo real.
1°EM,Matemática,12 - Semelhança,Descubra como formas diferentes podem manter proporções e revelar padrões surpreendentes.
1°EM,Matemática,13 - Área De Figuras Planas,"Aprenda a calcular o espaço das formas que nos cercam com lógica, precisão e fórmulas elegantes."
1°EM,Matemática,14 - Circunferência E Círculo,"Explore a perfeição das formas circulares e sua aplicação em rotações, órbitas e muito mais."
1°EM,Matemática,2 - Conjuntos Numéricos,"Dos naturais aos irracionais, mergulhe no universo dos números e nas ideias que organizam tudo."
1°EM,Matemática,3 - Temas Básicos Da Aritmética,"Domine os fundamentos dos números com divisibilidade, fatoração e operações que estruturam os cálculos."
1°EM,Matemática,4 - Temas Básicos Da Álgebra,Resolva o desconhecido com equações e expressões que revelam a linguagem universal da matemática.
1°EM,Matemática,5 - Linguagem Das Funções,Descubra como relações entre grandezas explicam tudo: de curvas no gráfico a decisões do mundo real.
1°EM,Matemática,6 - Função Polinomial Do 1° Grau Ou Função Afim,Explore gráficos lineares e relações diretas entre variáveis que explicam tendências e previsões.
1°EM,Matemática,7 - Função Polinomial Do 2° Grau Ou Função Quadrática,"Descubra parábolas, raízes e vértices que descrevem movimentos, lucros e fenômenos naturais."
1°EM,Matemática,8 - Função Modular,Entenda como o valor absoluto transforma equações e cria simetrias com aplicações reais e visuais.
1°EM,Matemática,9 - Função Exponencial,"Entenda o crescimento acelerado que explica juros, populações, pandemias e fenômenos naturais."
1°EM,Português,"1 - Língua, Gramática Ou Linguagem?","Explore o que está por trás do que falamos: estrutura, cultura e identidade expressas nas palavras."
1°EM,Português,"10 - Preposição, Conjunção E Interjeição","Descubra como pequenas palavras ligam ideias, marcam emoções e estruturam frases com clareza."
1°EM,Português,11 - Formação De Palavras,"Prefixos, sufixos e raízes: mergulhe no processo criativo por trás da construção da nossa linguagem."
1°EM,Português,12 - Análise E Produção Textual - Gêneros Dissertativos,
1°EM,Português,13 - Argumentação,"Entenda como construir argumentos sólidos, rebater ideias e convencer com lógica e persuasão."
1°EM,Português,14 - Análise E Produção Textual - Gêneros Argumentativos,Aprenda a construir argumentos sólidos em textos como artigos e resenhas — com impacto e clareza.
1°EM,Português,2 - Variações Linguísticas,Explore os diferentes jeitos de falar no Brasil e o que eles revelam sobre identidade e contexto social.
1°EM,Português,3 - Saber Ler,"Descubra como ir além das palavras: interpretar, inferir e entender o que os textos realmente dizem."
1°EM,Português,4 - Classes De Palavras - Substantivo,"Aprenda a reconhecer e usar os nomes das coisas, ideias e seres que estruturam qualquer frase."
1°EM,Português,5 - Classes De Palavras - Adjetivo,"Dê cor, forma e emoção às frases com palavras que qualificam e expressam nuances com precisão."
1°EM,Português,6 - Classes De Palavras - Artigo E Numeral,"Descubra como a definição, quantidade e ordem influenciam o sentido do que lemos e escrevemos."
1°EM,Português,7 - Classes De Palavras - Pronome,"Aprenda como pronomes substituem, indicam e personalizam a comunicação em cada contexto."
1°EM,Português,8 - Classes De Palavras - Verbo,"A alma da frase: veja como os verbos expressam ações, estados e tempos com flexão e intensidade."
1°EM,Português,9 - Classes De Palavras - Advérbio,"Intensifique, negue ou situe suas ideias com palavras que ajustam o ritmo, o tom e o foco da frase."
1°EM,Química,1 Introdução Á Química,Explore o mundo invisível das transformações da matéria e descubra como a Química explica tudo ao seu redor.
1°EM,Química,10 Relações Numéricas,"Conecte números e átomos para entender massas, quantidades e proporções que regem reações químicas."
1°EM,Química,11 Fórmulas Químicas,Decifre os códigos da matéria: símbolos e fórmulas que revelam a composição das substâncias.
1°EM,Química,12 Estudo Dos Gases,"Explore o comportamento dos gases e entenda as leis que explicam pressão, volume e temperatura no ar."
1°EM,Química,13 Cálculos Estequiométricos,Aprenda a quantificar reações químicas e prever resultados com base em proporções precisas.
1°EM,Química,2 A Matéria E Suas Transformações,"Entenda como a matéria muda de forma, estado e estrutura em processos físicos e químicos."
1°EM,Química,3 Evolução Dos Modelos Atômicos,Viaje pelas ideias que revelaram o átomo — de esferas maciças a nuvens de probabilidade.
1°EM,Química,4 Classificação Periódica Dos Elementos,Entenda como a tabela periódica organiza os elementos e revela padrões que explicam o universo atômico.
1°EM,Química,5 Ligações Químicas,Descubra como átomos se unem para formar substâncias com propriedades únicas e estruturas estáveis.
1°EM,Química,6 Geometria Molecular E Polaridade,Explore formas e distribuições de carga que determinam as propriedades e comportamentos das moléculas.
1°EM,Química,7 Forças Intermoleculares E Propriedades Físicas,"Revele as interações invisíveis entre moléculas que explicam estados físicos, solubilidade e ebulição."
1°EM,Química,8 Funções Inorgânicas,"Conheça os grupos fundamentais da química inorgânica — ácidos, bases, sais e óxidos — e suas aplicações."
1°EM,Química,9 Reações Químicas Inorgânicas,"Explore como as substâncias se transformam em reações que movem, mudam e constroem o mundo."
2°EM,Biologia,1 Zoologia,"Explore o mundo animal do porífero às aves com vermes, insetos, moluscos e mistérios da evolução."
2°EM,Biologia,2 Genética,"Segredos da hereditariedade revelados: de Mendel ao sangue, entenda como os genes moldam o que somos."
2°EM,Biologia,3 Fisiologia Humana,"Explore os sistemas vitais do corpo humano em uma jornada intensa por hormônios, órgãos, defesas e reprodução."
2°EM,Biologia,4 Origem Da Vida,A fascinante jornada da vida: das primeiras teorias ao surgimento das células e grandes extinções do planeta.
2°EM,Biologia,5 Botânica,"Dos musgos às flores, explore a evolução e a estrutura das plantas neste mergulho visual pela botânica."
2°EM,Física,1 O Universo,"Do Big Bang às galáxias: viaje pela origem, estrutura e mistérios do cosmos em expansão."
2°EM,Física,2 Gravitação Universal,"Entenda como os corpos se atraem e por que a gravidade conecta tudo, do planeta à maçã que cai."
2°EM,Física,3 Movimento Harmônico Simples (Mhs),"Explore oscilações perfeitas que regem pêndulos, molas e até o som que vibra ao nosso redor."
2°EM,Física,4 Ondulatória,"Explore o mundo das ondas — som, luz e vibração — e entenda como elas se propagam e se transformam."
2°EM,Física,5 Acústica,"Mergulhe no universo do som: frequências, ressonância e fenômenos que moldam o que ouvimos."
2°EM,Física,"6 Termologia, Calorimetria E Dilatação","Descubra como o calor interage com a matéria, altera volumes e revela leis da termodinâmica."
2°EM,Física,7 Gases Perfeitos,"Conheça o comportamento ideal dos gases e como suas variáveis explicam motores, balões e o clima."
2°EM,Física,8 Termodinâmica,"Descubra como calor e energia se transformam, guiando motores, ambientes e fenômenos naturais."
2°EM,Literatura,1. Romantismo Brasileiro - 1ª Geração - Parte 1,"Nacionalismo, natureza e idealização: a formação de uma identidade brasileira através da poesia."
2°EM,Literatura,2. Romantismo Brasileiro - 1ª Geração - Parte 2,"Heróis, lutas e valores patrióticos: os poetas românticos moldam a alma do Brasil independente."
2°EM,Literatura,3. Romantismo Brasileiro - 2ª Geração,"Dores existenciais e paixões intensas em versos que exploram angústias, perdas e liberdade."
2°EM,Literatura,4. Romantismo Brasileiro - 3ª Geração,"Poesia com sangue nos olhos e ideais na alma: liberdade, justiça e emoção nos versos da resistência."
2°EM,Matemática,1 - Sequência,"Descubra padrões numéricos que crescem, se repetem e revelam estruturas em listas e fórmulas."
2°EM,Matemática,10 - Pirâmide,Explore formas com base poligonal e vértices convergentes em sólidos que conectam arte e engenharia.
2°EM,Matemática,11 - Cilindro,"Conheça a forma que move a indústria: do volume ao raio, descubra os segredos geométricos do cilindro."
2°EM,Matemática,12 - Cone,"Do sorvete à arquitetura: entenda como essa forma afunilada revela medidas, volumes e simetria."
2°EM,Matemática,13 - Esfera,"Explore o sólido perfeito: medidas, volume e aplicações que envolvem bolas, planetas e simetria total."
2°EM,Matemática,2 - Trigonometria No Triângulo Retângulo,"Seno, cosseno e tangente explicam relações entre lados e ângulos no triângulo mais famoso da geometria."
2°EM,Matemática,3 - Circunferência Trigonométrica: Seno E Cosseno,Entenda como os arcos se transformam em funções periódicas que modelam ciclos e padrões.
2°EM,Matemática,4 - Outras Razões Trigonométricas,"Amplie seu repertório com tangente, secante e cofunções que revelam simetrias e relações entre ângulos."
2°EM,Matemática,5 - Adição De Arcos,Descubra como somar ângulos usando trigonometria para resolver problemas complexos com precisão.
2°EM,Matemática,6 - Funções Trigonométricas,"Explore funções periódicas que explicam oscilações, movimentos cíclicos e padrões no tempo."
2°EM,Matemática,7 - Triginimetria Em Um Triângulo Qualquer,Aplique a trigonometria fora do retângulo e descubra novas relações entre lados e ângulos.
2°EM,Matemática,8 - Geometria De Posição E Poliedros,"Entenda como pontos, retas e formas sólidas se organizam no espaço e constroem estruturas reais."
2°EM,Matemática,9 - Prisma,"Descubra como sólidos retos com bases paralelas revelam volume, faces e simetrias do espaço."
2°EM,Português,10. Análise E Produção Textual - Dissertação-Argumentativa (Parte 3),
2°EM,Português,4. Sintaxe - Período Simples,"Entenda como organizar as palavras em frases completas e claras, dominando os termos essenciais da oração."
2°EM,Português,5. Sintaxe - Concordância,"Descubra como manter harmonia entre sujeito e verbo, nome e adjetivo, com regras que dão sentido à língua."
2°EM,Português,6. Sintaxe - Regência E Crase,"Domine a arte de conectar termos com precisão — com ou sem acento, a clareza depende da escolha certa."
2°EM,Português,7. Sintaxe - Período Composto,Construa frases complexas com sentido completo unindo orações por coordenação e subordinação.
2°EM,Português,8. Análise E Produção Textual - Dissertação-Argumentativa (Parte 1),
2°EM,Português,9. Análise E Produção Textual - Dissertação-Argumentativa (Parte 2),
2°EM,Química,4. Cinética Química,Descubra o que acelera ou retarda as reações químicas e como controlar a velocidade das transformações.
2°EM,Química,5. Equilíbrio Químico,Entenda como as reações químicas se ajustam sozinhas e como pequenas mudanças afetam grandes resultados.
3°EM,Biologia,1 Citologia,"Descubra os mistérios das células: tipos, estruturas e funções em uma jornada do microscópio ao núcleo celular."
3°EM,Biologia,2 Genética,"Segredos da hereditariedade revelados: de Mendel ao sangue, entenda como os genes moldam o que somos."
3°EM,Biologia,3 Biotecnologia,"Manipulação genética, clonagem, vacinas e dilemas éticos: mergulhe no fascinante mundo da biotecnologia moderna."
3°EM,Biologia,4 Evolução,"A origem da vida sob a lente da ciência: teorias, evidências e mistérios da evolução desvendados em cada aula."
3°EM,Biologia,5 Botânica,"Dos musgos às flores, explore a evolução e a estrutura das plantas neste mergulho visual pela botânica."
3°EM,Biologia,6 Embriologia,"Da fecundação aos gêmeos: descubra os mistérios do início da vida com embriões, células e muito mais."
3°EM,Física,1 Eletrostática,
3°EM,Física,2 Eletrodinâmica,
3°EM,Física,3 Magnetismo,
3°EM,Física,4 Eletromagnetismo,
3°EM,Física,5 Análise Dimensional,
3°EM,Física,6 Tópicos De Mecânica Quântica,
3°EM,Física,7 Tópicos Relatividade Restrita,
3°EM,Física,8 Radioatividade,Descubra o poder dos átomos instáveis e como a radioatividade transformou a ciência — e o mundo.
3°EM,Literatura,1. Pré-Modernismo,
3°EM,Literatura,3. Modernismo Brasileiro - 1ª Geração,
3°EM,Literatura,4. Modernismo Brasileiro - 2ª Geração,
3°EM,Literatura,5. Modernismo Brasileiro - 3ª Geração,
3°EM,Matemática,1 - Matrizes,Domine a arte de organizar dados e resolver problemas com tabelas que escondem poderosos cálculos.
3°EM,Matemática,10 - Cônicas,
3°EM,Matemática,11 - Estatística,
3°EM,Matemática,12 - Matemática Financeira,
3°EM,Matemática,2 - Sistemas Lineares,
3°EM,Matemática,3 - Determinantes E Aplicações,
3°EM,Matemática,4 - Os Princípios Da Analise Combinatória,
3°EM,Matemática,5 - Métodos De Contagem,
3°EM,Matemática,6 - Probabilidade,
3°EM,Matemática,7 - Geometria Analítica: Ponto,
3°EM,Matemática,8 - Geometria Analítica: Reta,
3°EM,Matemática,9 - Geometria Analítica: Circunferência,
3°EM,Português,1. Sintaxe - Pontuação,
3°EM,Português,11. Análise E Produção Textual - Aprofundando A Dissertação-Argumentativa (Parte 1),
3°EM,Português,12. Análise E Produção Textual - Aprofundando A Dissertação-Argumentativa (Parte 2),
3°EM,Química,1 Introdução À Química Orgânica,
3°EM,Química,10 Noções De Bioquímica,
3°EM,Química,11 Polímeros,
3°EM,Química,2 Hidrocarnonetos,
3°EM,Química,3 Funções Orgânicas Oxigenadas,"Do álcool ao ácido, descubra como grupos oxigenados definem cheiros, remédios e reações do dia a dia."
3°EM,Química,4 Funções Orgânicas Nitrogenadas,
3°EM,Química,5 Outras Funções Orgânicas,
3°EM,Química,6 Propriedades Físicas Dos Compostos Orgânicos,
3°EM,Química,7 Isomeria,
3°EM,Química,8 Reações Orgânicas De Hidrocarbonetos,
3°EM,Química,9 Reações Orgânicas De Outras Funções,
